ID	fact
mardets_01	The Mardets or Groundbreaker Security are the security force on the Groundbreaker.
mardets_02	The Mardets started as the original security force on Groundbreaker before the Crossing.
mardets_03	The original force was made up of a marine detachment from the 77th Marine Expeditionary Unit, Trailward Fleet.
mardets_04	Over time people started to call them Mardets because it was easier to say and the name stuck.
mardets_05	The Mardets that currently protect Groundbreaker are descended from the original marine detachment and still wear colony ship guard armor as a uniform.
sublight	
sublight_01	"The SubLight Salvage and Shipping Corporation, also known as SubLight Salvage and Shipping or simply SubLight , is a network of ""salvagers"" with business ties to ""transportation"" and ""waste disposal""."
sublight_02	A tangled web of contractors and secretive vice presidents make up their official hierarchy,
sublight_03	leaving no one to speak on the record about SubLight's more legally dubious activities.
sublight_04	SubLight as a business operates activities that would be considered illicit by some,
sublight_05	amoral by others,
sublight_06	and at odds with the Board,
sublight_07	such as the takeover of abandoned space habitats,
sublight_08	smuggling contraband,
sublight_09	and serving as a front for companies to bypass the infamous Hazard Clause applied on Monarch.
sublight_10	According to director Lilya Hagen,
sublight_11	operating off of Groundbreaker,
sublight_12	"SubLight ""occupies a legal blind spot."
sublight_13	No one knows what [they're] licensed to do,
sublight_14	"and that gives [their] little business some freedom."""
sublight_15	Although the Board tolerates and sees the value of SubLight's activities,
sublight_16	there are still limits to what the latter can get away with.
sublight_17	SubLight maintains an office aboard the Groundbreaker as well as a settlement on Monarch known as Fallbrook.
