ID	fact
iconoclasts_24	The Van Noys are the Iconoclasts' best unit.
mantisaur	
mantisaur_01	Mantisaurs are insectoid creatures native to Monarch.
mantisaur_02	They are aggressive, territorial, and very strong.
mantisaur_03	It is possible to deal with them one on one, but it is best to avoid groups of them for your safety.
mantisaur_04	The mantiqueen is the largest breed of Mantisaur.
monarch	
monarch_01	Monarch, previously known as Terra 1, is one of the many moons of the gas giant Olympus and the site of a failed colony.
monarch_02	Terra 1 was initially designated as the primary colonization target of the Halcyon system.
monarch_03	The Halcyon Holdings Corporate Board had intended to completely terraform the moon,
monarch_04	wiping out the local fauna and flora and replacing it with plants and wildlife native to Earth.
monarch_05	However, the terraforming process unexpectedly caused the native species to mutate and grow to significantly larger sizes,
monarch_06	rendering them more dangerous and severely crippling the colonization effort.
monarch_07	Due to the hostile environment which they had created,
monarch_08	the Board was forced to enact a Hazard Clause covering the entirety of Terra 1.
monarch_09	Public notice of the clause's issuance was sent to everyone operating on Terra 1 and led to the evacuation of almost all corporations from the moon.
monarch_10	However, one corporation took advantage of the chaos of the evacuation to exploit a legal loophole which allowed them to,
monarch_11	as the last corporation remaining on the planet,
monarch_12	acquire the planet from the Board.
monarch_13	This corporation, under the leadership of Sanjar Nandi and Graham Bryant subsequently rebranded itself to Monarch Stellar Industries (MSI),
monarch_14	in line with the renaming of the planet to 'Monarch'.
monarch_15	The actions of MSI earned them the ire of the Board,
monarch_16	who retaliated by effectively placing the moon under indefinite embargo,
monarch_17	refusing to allow legal transit either in or out.
monarch_18	the Board aggressively spread propaganda about Monarch to convince the rest of the population that it was both uninhabited and uninhabitable.
monarch_19	This has greatly hampered MSI's attempts to be recognized as a legitimate corporation and is a thorn in the side of its CEO, Sanjar Nandi.
monarch_20	"Monarch also has an ocean which goes around the moon at the ""twilight band""."
monarch_21	It is where the colonists and Monarch Stellar Industries farm their saltuna.
raptidon	
raptidon_01	Raptidons are giant cat/reptile-like creatures that inhabit various planets in Halcyon.
raptidon_02	They are creatures native to Monarch.
raptidon_03	however some corporations have illegally imported them to other planets,
raptidon_04	such as Auntie Cleo who relocated a group of them to Roseway.
raptidon_05	Raptidons are of corporate interest due to their potential for producing new chemical by-products which,
raptidon_06	when refined, can be used to create new board approved products.
stellar_bay	
stellar_bay_01	Outside the city walls, the lands were overrun by the native wildlife, as well as marauders and outlaws.
stellar_bay_02	Stellar Bay is a company town located on the planet Monarch. It is owned and operated by Monarch Stellar Industries.
stellar_bay_03	Stellar Bay is the largest saltuna producer on the Halcyon colony and used to be one of the most important suppliers of this resource.
sulfur_pits	
sulfur_pits_01	The Sulfur Pits are a point of interest on the western side of Monarch.
sulfur_pits_02	They are located southwest of Terra One Publications and directly northeast of the Gunship Crash Site.
sulfur_pits_03	The Sulfur Pits have a large variety of Raptidons and many deceased marauders.
sulfur_pits_04	The area consists largely of Sulfur Pits.
sulfur_pits_05	When an entity comes in contact with a sulfur pit,
sulfur_pits_06	they receive the acid effect for the duration of touching the pit.
tucker_needham	
tucker_needham_01	Tucker Needham is a former resident of Stellar Bay who left to join the Iconoclasts.
tucker_needham_02	Before the quest A Family Matter, he can be found in Amber Heights.
tucker_needham_03	Tucker was coddled by his mother from a very young age,
tucker_needham_04	the latter insisting that danger lurked around every corner on Monarch.
tucker_needham_05	His mother's overprotectiveness extended well into Tucker's adulthood,
tucker_needham_06	leading him to seek to be free in any way possible.
tucker_needham_07	After hearing Graham Bryant's broadcasts, Tucker left Stellar Bay to be truly free by joining the Iconoclasts at Amber Heights.
tucker_needham_08	He is dazzled by Graham's preachings on true unfettered freedom from the corporate way of life and attributes his enthusiasm to his 'childhood trauma'.
tucker_needham_09	He is willing to do anything to remain free, even faking his own death to prevent his mother from continuing to send people to look for him.
